MAG	CUBHE	ConsistencyHE	CPB	FilteredSequences	d	LowerCI	UpperCI
SRR6743923_metabat_1	0.6477662	0.5009573	-0.4054907	66	2.848257	2.45084	3.320937
SRR6743923_metabat_2	0.5526836	0.4786614	-0.2918142	534	5.179504	4.10884	6.580551
SRR6743926_metabat_1	0.6919683	0.5404092	-0.3990559	65	3.243674	2.716317	3.891144
SRR6743926_metabat_2	0.625687	0.4758074	-0.3945512	47	2.483602	2.048164	3.027927
SRR6743928_metabat_1	0.765633	0.5442491	-0.382989	194	1.760188	1.464522	2.125957
SRR6743935_metabat_1	0.6275301	0.4212319	-0.386134	33	1.223913	0.8865992	1.71579
SRR6743935_metabat_2	0.6390656	0.4716021	-0.4037506	35	2.085197	1.709889	2.557495
SRR6743935_metabat_3	0.6971268	0.5477541	-0.4009695	34	3.421799	2.814046	4.184015
SRR6743935_metabat_4	
SRR6743935_metabat_5	1.03137	0.4905312	-0.3823456	46	0.1473969	0.1076617	0.2047664
SRR6743935_metabat_6	0.5468784	0.4232936	-0.3259253	241	2.514623	1.777243	3.622264
SRR6743939_metabat_1	0.9430992	0.387635	-0.3835488	89	0.1013326	0.06712176	0.1569287
SRR6743939_metabat_2	0.9219016	0.5271256	-0.3860046	57	0.4287651	0.3364687	0.5511013
SRR6743939_metabat_3	0.8583689	0.2822486	-0.3912869	49	0.06825224	0.03878033	0.1261731
SRR6743940_metabat_1	0.6206715	0.5051266	-0.3952418	64	3.896124	3.316126	4.594808
SRR6743941_metabat_1	0.9345132	0.3185928	-0.3844569	39	0.0604378	0.03624375	0.1048826
SRR6743942_metabat_1	0.7741045	0.4732082	-0.3809127	208	0.7060749	0.5684325	0.883084
SRR6743945_metabat_1	0.7772367	0.472433	-0.3812334	169	0.6836456	0.5489147	0.8574548
SRR6743945_metabat_2	0.5618103	0.4358891	-0.3245299	374	2.599141	1.907806	3.591432
SRR6743947_metabat_1	0.6781858	0.5299804	-0.3968465	43	3.195485	2.726363	3.759012
SRR6743947_metabat_2	0.6132649	0.4862064	-0.4010548	39	3.206643	2.679792	3.855052
SRR6743947_metabat_3	0.8356191	0.4564659	-0.4002175	75	0.3783035	0.2885493	0.5013553
SRR6743947_metabat_4	0.8796528	0.4940505	-0.3789227	28	0.4095459	0.3231968	0.5232404
SRR6743947_metabat_5	0.7431552	0.4775445	-0.381689	157	0.9421288	0.7734153	1.154165
SRR6743952_metabat_1	0.7880437	0.4706777	-0.3763625	218	0.6184632	0.492885	0.7818995
SRR6743952_metabat_2	0.6725366	0.4644828	-0.3716141	45	1.429462	1.15602	1.779238
SRR6743953_metabat_1	0.8280376	0.2109375	-0.391844	45	0.0459499	0.02363507	0.0957196
SRR6743954_metabat_1	0.6164449	0.5034069	-0.4134526	101	3.96019	3.36158	4.683573
SRR6743954_metabat_2	0.9917858	0.527654	-0.3800548	30	0.2676287	0.2024794	0.3578168
SRR6743954_metabat_3	0.8177516	0.4990727	-0.3479733	9	0.6773335	0.5554682	0.830677
SRR6743954_metabat_4	0.873546	0.5085727	-0.3921036	26	0.4979842	0.3991348	0.6257717
SRR6743954_metabat_5	0.7302314	0.282973	-0.3812199	2	0.143068	0.07992407	0.269843
SRR6743954_metabat_6	0.9653484	0.4920061	-0.3913329	62	0.2257148	0.1702032	0.3028656
SRR6743954_metabat_7	0.6394747	0.491367	-0.3997293	42	2.699275	2.294736	3.18727
SRR6743954_metabat_8	1.180223	0.3060407	-0.3899495	38	0.01667389	0.009727715	0.02987988
SRR6743955_metabat_1	0.6445064	0.5043901	-0.3934707	61	3.076643	2.648982	3.58493
SRR6743955_metabat_2	0.6077924	0.4486144	-0.3980544	16	2.037559	1.571594	2.667961
SRR6743958_metabat_1	0.6077251	0.473769	-0.3940858	21	2.846928	2.323465	3.509355
SRR6743958_metabat_2	0.6841472	0.5209358	-0.3956057	35	2.67299	2.31243	3.09915
SRR6743958_metabat_3	
SRR6743959_metabat_1	0.7357107	0.3103792	-0.380116	62	0.1772364	0.1036945	0.3165591
SRR6743959_metabat_2	0.925522	0.5379687	-0.451179	43	0.4681009	0.3659238	0.6041539
SRR6743961_metabat_1	0.7322366	0.5410269	-0.3848969	27	2.262577	1.90153	2.704
SRR6743961_metabat_2	0.6266556	0.473094	-0.3955342	58	2.374814	1.948159	2.911474
SRR6743962_metabat_1	0.9753506	0.5155985	-0.3993933	22	0.2652712	0.2018948	0.3523845
SRR6743962_metabat_2	0.918347	0.5370843	-0.4626937	18	0.4882025	0.3831787	0.6273795
SRR6743962_metabat_3	1.089003	0.4389014	-0.4666024	24	0.06838828	0.04663865	0.1025022
SRR6743962_metabat_4	
SRR6743962_metabat_5	1.054713	0.4674618	-0.3882407	3	0.1049588	0.07448263	0.1505145
SRR6743962_metabat_6	0.6275725	0.5086749	-0.4058367	119	3.834046	3.274925	4.504785
SRR6743962_metabat_7	0.8341372	0.4665821	-0.3888205	127	0.4242177	0.3294416	0.5514062
SRR6743963_metabat_1	0.645035	0.4923242	-0.3988221	22	2.599008	2.215544	3.060105
SRR6743963_metabat_2	0.6731493	0.5223931	-0.3896383	29	3.017221	2.600508	3.511897
SRR6743963_metabat_3	0.6213284	0.4704885	-0.3829765	19	2.406742	1.960546	2.972637
SRR6743964_metabat_01	0.6179923	0.5022534	-0.4185054	102	3.838145	3.26053	4.535519
SRR6743964_metabat_02	0.919166	0.4906083	-0.3950521	14	0.3016655	0.2324442	0.3954267
SRR6743964_metabat_03	
SRR6743964_metabat_04	0.9845326	0.5372127	-0.3921559	18	0.3085476	0.2341246	0.4112134
SRR6743964_metabat_05	0.9754694	0.5273465	-0.4164847	31	0.2973899	0.2268679	0.3940568
SRR6743964_metabat_06	1.00019	0.3900667	-0.3766872	5	0.07497826	0.04932119	0.117029
SRR6743964_metabat_07	1.075637	0.3388278	-0.3768521	15	0.03413766	0.02082539	0.05807783
SRR6743964_metabat_08	0.9073237	0.4846504	-0.3779822	6	0.3079264	0.2371744	0.403806
SRR6743964_metabat_09	0.7385283	0.5509696	-0.3944845	19	2.438994	2.0035	2.985907
SRR6743964_metabat_10	0.6818331	0.5516851	-0.3423691	43	4.189399	3.382927	5.222835
SRR6743964_metabat_11	
SRR6743964_metabat_12	0.6537778	0.5686754	-0.3795104	44	7.166767	5.329247	9.763536
SRR6743969_metabat_1	0.838311	0.5479156	-0.3228781	268	1.008652	0.8157204	1.255439
SRR6743970_metabat_1	0.6524994	0.5068633	-0.4068606	102	2.954865	2.552423	3.431365
SRR6743970_metabat_2	0.7210212	0.4694296	-0.3786883	138	1.02122	0.8297017	1.26487
SRR6743972_metabat_1	0.5042329	0.3926229	-0.4134837	102	2.456609	1.575346	3.946735
SRR6743972_metabat_2	0.6624724	0.4848909	-0.3619138	30	2.016427	1.703137	2.397228
SRR6743980_metabat_1	0.6261187	0.4750391	-0.400323	57	2.448749	2.016559	2.989917
SRR6743980_metabat_2	0.6632181	0.5464218	-0.3992997	23	4.660005	3.787889	5.768888
SRR6743980_metabat_3	0.5886499	0.03333333	-0.375764	11	0.04096601	0.01598914	0.1212973
SRR6743980_metabat_4	0.9339307	0.4081045	-0.3950147	4	0.1275405	0.08728291	0.1904168
SRR6743980_metabat_5	0.8104252	0.5269439	-0.3843219	18	0.9845873	0.8204678	1.187253
SRR6743980_metabat_6	0.9267186	0.4608314	-0.458658	46	0.2153257	0.1595724	0.2944377
SRR6743980_metabat_7	0.6300665	0.4872992	-0.4011759	38	2.784997	2.347117	3.318612
SRR6743980_metabat_8	0.5248022	0.39713	-0.4027232	74	2.168849	1.423614	3.393476
SRR6743980_metabat_9	0.7592699	0.4767463	-0.3791517	27	0.8231401	0.6708632	1.016156
SRR6743982_metabat_01	0.9458338	0.5350348	-0.3916198	29	0.3934304	0.3045955	0.5130815
SRR6743982_metabat_02	0.6684315	0.5112347	-0.4622704	38	2.707689	2.34838	3.131119
SRR6743982_metabat_03	0.8900218	0.4706307	-0.3902151	25	0.301029	0.2296384	0.3988891
SRR6743982_metabat_04	0.7372782	0.3125916	-0.4360408	26	0.1791174	0.1052177	0.3184154
SRR6743982_metabat_05	0.610512	0.5117511	-0.4239711	68	4.73346	3.989322	5.640265
SRR6743982_metabat_06	0.6563487	0.5045323	-0.4058987	85	2.762828	2.387446	3.207093
SRR6743982_metabat_07	1.028006	0.4141717	-0.3943372	14	0.07825123	0.0527851	0.1187283
SRR6743982_metabat_08	0.6420272	0.5590158	-0.4033739	77	6.981865	5.343202	9.219535
SRR6743982_metabat_09	1.048061	0.4056599	-0.4076515	16	0.0654574	0.04348117	0.1010481
SRR6743982_metabat_10	0.6062222	0.4532103	-0.385815	15	2.193555	1.709863	2.83979
SRR6743982_metabat_11	
SRR6743982_metabat_12	0.701974	0.5069658	-0.3770729	46	1.897575	1.644663	2.195854
SRR6743982_metabat_13	0.9501781	0.4961836	-0.4208994	25	0.2593066	0.1976827	0.3438441
SRR6743982_metabat_14	0.6418124	0.5110899	-0.3823791	81	3.46252	2.977267	4.040151
SRR6743982_metabat_15	0.5265733	0.4193476	-0.3894214	54	2.870714	1.985952	4.234573
SRR6743982_metabat_16	0.5940036	0.5126327	-0.407395	49	5.659179	4.697627	6.851978
SRR6743985_metabat_1	0.7723639	0.4695181	-0.3783251	219	0.6866115	0.5492374	0.864615
SRR6743986_metabat_01	0.733775	0.5941553	-0.4097321	40	4.652225	3.287337	6.702977
SRR6743986_metabat_02	0.6035512	0.418909	-0.2928205	21	1.450949	1.038936	2.060197
SRR6743986_metabat_03	0.7062858	0.373632	-0.295863	24	0.3976875	0.2610894	0.6221023
SRR6743986_metabat_04	0.7985577	0.5058499	-0.3933	155	0.8466133	0.7059509	1.02018
SRR6743986_metabat_05	0.689571	0.3146264	-0.2924476	23	0.2475018	0.1446376	0.4426553
SRR6743986_metabat_06	0.7340162	0.4961474	-0.4092589	44	1.264554	1.074826	1.493474
SRR6743986_metabat_07	0.696766	0.5318118	-0.4710059	68	2.757991	2.35491	3.241751
SRR6743986_metabat_08	0.6473377	0.5301358	-0.5371835	158	4.301981	3.618615	5.136633
SRR6743986_metabat_09	0.631626	0.4440562	-0.4391838	87	1.565334	1.200748	2.061811
SRR6743986_metabat_10	0.7004271	0.6276178	-0.4142453	77	11.08459	6.50291	19.73489
SRR6743986_metabat_11	0.623353	0.5375628	-0.3785644	339	6.104217	4.948393	7.578532
SRR6743986_metabat_12	0.4919745	0.3845218	-0.4265942	102	2.46355	1.538402	4.079875
SRR6743986_metabat_13	0.64186	0.5103137	-0.4437725	59	3.42365	2.9447	3.993584
SRR6743986_metabat_14	0.7092085	0.4300229	-0.4094474	87	0.7126018	0.5298731	0.9708452
SRR6743986_metabat_15	0.7417271	0.4966097	-0.3539594	109	1.193855	1.012452	1.413308
SRR6743986_metabat_16	0.7188284	0.5087272	-0.3718528	78	1.677937	1.45069	1.946725
SRR6743986_metabat_17	1.001152	0.6375962	-0.4325843	244	0.7938713	0.5135851	1.262714
SRR6743986_metabat_18	0.8927832	0.5868176	-0.4355705	207	1.032184	0.7645459	1.412178
SRR6743986_metabat_19	0.5037694	0.3954751	-0.3972826	68	2.562695	1.653455	4.088628
SRR6743986_metabat_20	0.5560333	0.5180975	-0.3739829	146	9.179876	7.238675	11.73821
SRR6743986_metabat_21	0.6183699	0.4907644	-0.4505345	105	3.255644	2.743514	3.879809
SRR6743986_metabat_22	0.5313793	0.4080058	-0.3251783	144	2.359876	1.594781	3.57326
SRR6743986_metabat_23	0.6772564	0.5720754	-0.5072646	84	5.91878	4.421324	8.023489
SRR6743986_metabat_24	0.6801608	0.5325241	-0.4328334	133	3.249163	2.76021	3.839485
SRR6743986_metabat_25	0.6769135	0.5355904	-0.49524	123	3.496411	2.947331	4.165365
SRR6743986_metabat_26	0.8649863	0.402022	-0.4075168	18	0.1838385	0.1263267	0.2732182
SRR6743986_metabat_27	0.5434842	0.3472222	-0.3852334	28	0.9997428	0.5933468	1.756005
SRR6743986_metabat_28	
SRR6743986_metabat_29	1.189951	0.2595635	-0.441951	14	0.01186322	0.006609004	0.02244912
SRR6743986_metabat_30	0.7159713	0.4800682	-0.4911294	68	1.207211	1.004015	1.458706
SRR6743986_metabat_31	0.5652204	0.3046054	-0.3051084	95	0.5259503	0.2898586	1.008157
SRR6743986_metabat_32	0.6600425	0.4999337	-0.4228166	18	2.511193	2.1652	2.921735
SRR6743986_metabat_33	
SRR6743988_metabat_1	0.9627782	0.506564	-0.380723	95	0.2639641	0.2013712	0.349761
SRR6743988_metabat_2	0.9061712	0.3748753	-0.3920167	57	0.1125448	0.0735034	0.177096
SRR6743989_metabat_1	
SRR6743991_metabat_01	0.6127219	0.5434137	-0.4035491	101	7.459834	5.877604	9.547072
SRR6743991_metabat_02	0.6666878	0.5313468	-0.4398116	146	3.630947	3.076802	4.301948
SRR6743991_metabat_03	0.7152241	0.5833969	-0.3259238	238	4.777614	3.491694	6.632929
SRR6743991_metabat_04	0.596863	0.458121	-0.4755008	64	2.546091	2.000705	3.267834
SRR6743991_metabat_05	0.6125139	0.4801997	-0.4245959	27	2.973204	2.460449	3.611572
SRR6743991_metabat_06	0.5829303	0.5261293	-0.3923943	52	7.807947	6.258558	9.810735
SRR6743991_metabat_07	
SRR6743991_metabat_08	0.623118	0.5338086	-0.447525	68	5.782069	4.73551	7.101004
SRR6743991_metabat_09	0.597864	0.4948099	-0.4275571	50	4.193525	3.504054	5.04221
SRR6743991_metabat_10	0.6764936	0.4820119	-0.4134667	40	1.720752	1.445578	2.057344
SRR6743991_metabat_11	0.6233078	0.5794106	-0.3903533	305	11.86123	8.147499	17.63542
SRR6743991_metabat_12	0.5878032	0.5541112	-0.502491	126	11.62295	8.551924	16.0182
SRR6743991_metabat_13	0.6515979	0.5175014	-0.3882253	228	3.451669	2.968317	4.026951
SRR6743991_metabat_14	0.7448628	0.5524743	-0.4494577	251	2.350355	1.923784	2.888324
SRR6743991_metabat_15	
SRR6743991_metabat_16	0.6292272	0.5492846	-0.3240351	226	6.86969	5.389474	8.832293
SRR6743991_metabat_17	
SRR6743991_metabat_18	
SRR6743991_metabat_19	0.7524123	0.4856978	-0.3124254	112	0.9629281	0.7996856	1.16532
SRR6743991_metabat_20	0.6165605	0.5141561	-0.4241132	53	4.617795	3.901716	5.487822
SRR6743991_metabat_21	0.6217563	0.5669538	-0.3242873	73	9.836482	7.139816	13.75936
SRR6743991_metabat_22	0.595865	0.5476175	-0.3877601	36	9.557793	7.28359	12.67904
SRR6743991_metabat_23	0.7437706	0.4934393	-0.3496025	24	1.130467	0.953711	1.345608
SRR6743991_metabat_24	0.5930136	0.5118942	-0.3487163	72	5.653502	4.692044	6.846442
SRR6743991_metabat_25	0.9095094	0.4118852	-0.3787052	22	0.1527705	0.1057508	0.2251979
SRR6743991_metabat_26	0.6001777	0.5273798	-0.3575519	102	6.640951	5.4085	8.204451
SRR6743991_metabat_27	0.6318759	0.5502657	-0.4646188	78	6.784097	5.316534	8.732438
SRR6743991_metabat_28	0.6992112	0.5040479	-0.450419	27	1.872335	1.620237	2.1702
SRR6743991_metabat_29	0.6676257	0.5354808	-0.4222066	102	3.814747	3.204125	4.56182
SRR6743991_metabat_30	0.6433435	0.5605864	-0.459294	19	7.055339	5.372483	9.367084
SRR6743991_metabat_31	0.6308099	0.5703601	-0.4715199	91	9.411804	6.796472	13.23997
SRR6743991_metabat_32	0.554678	0.38964	-0.4618416	24	1.522349	0.9976546	2.38626
SRR6743991_metabat_33	0.7333421	0.545523	-0.3946407	67	2.377315	1.978528	2.870498
SRR6743991_metabat_34	0.7003556	0.5174846	-0.43093	71	2.206173	1.91424	2.550029
SRR6743991_metabat_35	0.5483064	0.5204987	-0.481957	45	10.38798	8.066678	13.50335
SRR6743991_metabat_36	0.6753696	0.3608821	-0.408472	13	0.4329907	0.2757986	0.7009965
SRR6743998_metabat_1	
SRR6743999_metabat_1	0.7693361	0.4709572	-0.391253	76	0.7138674	0.5732642	0.8952207
SRR6743999_metabat_2	0.8321565	0.3915195	-0.3803185	65	0.2050813	0.1390007	0.3095055
SRR6744000_metabat_1	0.6261132	0.5005309	-0.4192248	72	3.466748	2.956597	4.079853
SRR6744000_metabat_2	1.004645	0.5470596	-0.395541	107	0.2971771	0.2226086	0.4016374
SRR6744000_metabat_3	0.6600037	0.531525	-0.411647	36	3.880947	3.277336	4.614798
SRR6744000_metabat_4	0.620637	0.4758074	-0.3919962	29	2.600012	2.140782	3.175145
SRR6744000_metabat_5	
SRR6744000_metabat_6	0.6360798	0.52668	-0.391431	54	4.570152	3.843902	5.457261
SRR6744000_metabat_7	0.6134092	0.4434265	-0.3650491	19	1.814965	1.38447	2.40511
SRR6744001_metabat_1	0.8981585	0.5069153	-0.3993021	95	0.410882	0.3245078	0.5245031
SRR6744001_metabat_2	0.6486171	0.5194345	-0.4055632	97	3.648482	3.126912	4.271721
SRR6744002_metabat_01	0.9339122	0.5357252	-0.3960394	43	0.4307974	0.3355392	0.5581865
SRR6744002_metabat_02	0.9825362	0.4618686	-0.3968513	20	0.1534038	0.1113222	0.2146375
SRR6744002_metabat_03	0.937723	0.5473241	-0.4629056	23	0.4734651	0.3661177	0.6182573
SRR6744002_metabat_04	1.025907	0.3946079	-0.4650444	19	0.06756834	0.04448444	0.1053627
SRR6744002_metabat_05	0.6462384	0.5052891	-0.3964907	54	3.065018	2.641272	3.56814
SRR6744002_metabat_06	0.7277924	0.5429291	-0.3144833	157	2.414486	2.021018	2.897829
SRR6744002_metabat_07	
SRR6744002_metabat_08	0.6920487	0.3824489	-0.4219075	38	0.4821893	0.322092	0.7397117
SRR6744002_metabat_09	1.041804	0.03333333	-0.4058087	8	0.005622521	0.002524777	0.01387054
SRR6744002_metabat_10	
SRR6744002_metabat_11	0.6923631	0.4423943	-0.4702066	30	0.9344389	0.7161757	1.231967
SRR6744002_metabat_12	0.6289044	0.5336129	-0.3867787	54	5.436489	4.476364	6.638906
SRR6744004_metabat_1	0.6458544	0.4987249	-0.4038522	88	2.812285	2.414496	3.286641
SRR6744006_metabat_1	0.7964788	0.4585013	-0.3740367	239	0.5097337	0.3957464	0.6627518
SRR6744006_metabat_2	0.9614509	0.4855549	-0.381734	59	0.2177171	0.1635296	0.2933814
SRR6744009_metabat_01	0.6742915	0.5177071	-0.4016731	85	2.800774	2.425395	3.243933
SRR6744009_metabat_02	0.9764618	0.5391308	-0.3931999	34	0.3321653	0.2529425	0.440991
SRR6744009_metabat_03	0.621179	0.4742204	-0.3888978	16	2.532828	2.079241	3.102894
SRR6744009_metabat_04	0.6918512	0.5135731	-0.4167863	133	2.260601	1.964033	2.609387
SRR6744009_metabat_05	
SRR6744009_metabat_06	0.6791822	0.5146848	-0.3839578	113	2.571408	2.232056	2.97093
SRR6744009_metabat_07	0.5197427	0.3950598	-0.3639489	63	2.207851	1.437945	3.485161
SRR6744009_metabat_08	0.6643104	0.5820156	-0.3994249	59	7.893961	5.59169	11.34293
SRR6744009_metabat_09	0.8889172	0.5228201	-0.272851	5681	0.5186863	0.4143604	0.6540791
SRR6744009_metabat_10	0.7808971	0.4763991	-0.3695306	118	0.6950211	0.5613137	0.8663266
SRR6744010_metabat_1	0.6729807	0.5432151	-0.4048442	30	4.044005	3.336628	4.927763
SRR6744010_metabat_2	0.6259866	0.4205042	-0.3918268	22	1.228633	0.8881522	1.726383
SRR6744011_metabat_1	0.6669322	0.4315078	-0.3796417	48	1.006439	0.7513569	1.36522
SRR6744015_metabat_1	0.6407873	0.4997175	-0.4001862	87	2.987232	2.562481	3.49425
SRR6744015_metabat_2	0.4532653	0.02222222	-0.3457282	150	0.07686511	0.02756181	0.2552079
SRR6744016_metabat_1	0.6540888	0.47204	-0.3826917	76	1.838908	1.512316	2.248497
SRR6744016_metabat_2	0.5239746	0.3841916	-0.3206607	98	1.848064	1.177112	2.992052
SRR6744020_metabat_1	0.6569008	0.5370004	-0.3934794	64	4.325575	3.599401	5.223808
SRR6744020_metabat_2	0.9695179	0.542957	-0.4092044	59	0.3620461	0.276285	0.4795545
SRR6744020_metabat_3	0.9906448	0.4811998	-0.3934793	37	0.1739161	0.1283648	0.2388655
SRR6744020_metabat_4	0.622271	0.4745953	-0.4028754	48	2.520481	2.071385	3.084172
SRR6744020_metabat_5	0.90168	0.5336966	-0.3758847	10	0.5311645	0.4210144	0.675447
SRR6744020_metabat_6	1.113196	0.3146949	-0.4409713	9	0.02401351	0.01420624	0.04233723
SRR6744020_metabat_7	
SRR6744020_metabat_8	0.589348	0.5522487	-0.405865	47	11.07715	8.227548	15.10973
SRR6744022_metabat_1	0.5777614	0.4820443	-0.414526	58	4.246098	3.452997	5.253981
SRR6744022_metabat_2	0.6306707	0.5004841	-0.4020372	40	3.318468	2.836306	3.896461
SRR6744022_metabat_3	0.890448	0.5462186	-0.3746107	54	0.6613713	0.5235806	0.8421201
SRR6744022_metabat_4	0.7367039	0.5331963	-0.4113638	17	1.964104	1.672451	2.31526
SRR6744022_metabat_5	0.6149434	0.4912734	-0.4037509	52	3.386303	2.850445	4.040238
SRR6744022_metabat_6	0.705708	0.5119011	-0.3862588	24	1.957145	1.698423	2.261831
SRR6744022_metabat_7	0.6754178	0.5549208	-0.3972372	74	4.67537	3.721961	5.91781
SRR6744025_metabat_1	0.8386152	0.3594803	-0.385375	67	0.1469577	0.0941103	0.2364678
SRR6744033_metabat_1	0.9668876	0.1386555	-0.3779748	55	0.01438476	0.006997245	0.03209452
SRR6744033_metabat_2	0.852345	0.4372022	-0.357174	26	0.278579	0.2042368	0.3854372
SRR6744033_metabat_3	0.9294257	0.5341624	-0.3946021	25	0.43749	0.3416809	0.5652026
SRR6744033_metabat_4	0.7128821	0.3107423	-0.3887827	43	0.2052905	0.1197085	0.3681
SRR6744033_metabat_5	0.8358371	0.3773696	-0.3833395	29	0.1757625	0.1161141	0.2730127
SRR6744037_metabat_1	0.9760717	0.5189799	-0.4152002	49	0.2728478	0.2078004	0.3621867
SRR6744037_metabat_2	0.6470258	0.5128532	-0.3965386	98	3.37797	2.909027	3.935187
SRR6744039_metabat_1	0.7783077	0.5062163	-0.4062054	114	0.9967988	0.8401448	1.187684
SRR6744039_metabat_2	0.6933062	0.4846471	-0.3877927	58	1.541352	1.299297	1.836252
SRR6744040_metabat_1	0.6332788	0.5005344	-0.3986003	91	3.240328	2.772827	3.799967
SRR6744042_metabat_1	0.645234	0.5053336	-0.3998333	88	3.095737	2.66681	3.605219
SRR6744043_metabat_1	0.6206248	0.5005455	-0.4227523	96	3.653312	3.10662	4.312578
SRR6744043_metabat_2	0.9756195	0.5464619	-0.4120166	37	0.3597281	0.2732733	0.4788286
SRR6744043_metabat_3	0.8523587	0.4507006	-0.3895882	18	0.3182804	0.2389068	0.4291998
SRR6744043_metabat_4	1.084569	0.4711423	-0.3889531	8	0.09126498	0.06423784	0.1320654
SRR6744043_metabat_5	
SRR6744043_metabat_6	0.9149578	0.5317005	-0.3918895	15	0.4725409	0.3720723	0.6051789
SRR6744043_metabat_7	1.057727	0.4122794	-0.4167418	9	0.06549105	0.0437477	0.100465
SRR6744044_metabat_1	0.7716363	0.4749516	-0.3779739	186	0.7335967	0.5930833	0.9134018
SRR6744046_metabat_01	0.6388572	0.2176706	-0.4333935	18	0.1388882	0.06845664	0.3048643
SRR6744046_metabat_02	0.6283815	0.5283561	-0.4136324	18	5.055581	4.213713	6.094931
SRR6744046_metabat_03	0.9191568	0.5398211	-0.4133155	19	0.4996666	0.39158	0.6431611
SRR6744046_metabat_04	0.6155508	0.5032277	-0.4208216	93	3.984362	3.38011	4.715065
SRR6744046_metabat_05	1.00797	0.4792276	-0.3955602	4	0.1535568	0.1122741	0.2130888
SRR6744046_metabat_06	1.032557	0.4578846	-0.412494	42	0.1099643	0.0779489	0.1578842
SRR6744046_metabat_07	
SRR6744046_metabat_08	1.151067	0.2637779	-0.4597424	12	0.01440521	0.008063996	0.02710344
SRR6744046_metabat_09	0.5118426	0.4191506	-0.4033015	109	3.284095	2.248173	4.901446
SRR6744046_metabat_10	0.7025083	0.5052967	-0.390671	58	1.84883	1.600581	2.142
SRR6744046_metabat_11	0.6498448	0.5691987	-0.3955012	42	7.531107	5.568523	10.32348
SRR6744049_metabat_1	0.5414219	0.4806088	-0.442303	452	5.97707	4.700301	7.665186
SRR6744050_metabat_1	0.640067	0.4984969	-0.4049559	106	2.957473	2.534	3.463654
