Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
SRR6743912_metabat_5	11.44	0.0	0.0	3	0	UID2728	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis	unresolved	42.258292940539754	0.41942299999999993	477	0.8885516531043839	SRR6743912
SRR6743914_metabat_1	76.21	0.0	0.0	43	0	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	g__Shuttleworthia;s__Shuttleworthia_satelles	31.15794349803372	1.6320139999999999	1513	0.8901921184499643	SRR6743914
SRR6743914_metabat_2	17.86	0.0	0.0	1	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	38.90639789475875	0.38456399999999996	305	0.8623740131681593	SRR6743914
SRR6743914_metabat_3	41.63	0.0	0.0	38	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.65405445682397	0.7649729999999999	615	0.8770074237914279	SRR6743914
SRR6743914_metabat_4	82.09	0.23	0.0	41	0	UID1474	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	41.10818297018156	1.337595	1054	0.8822663063184297	SRR6743914
SRR6743914_metabat_5	39.29	0.0	0.0	3	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	43.25564580814984	0.44258500000000006	344	0.8767513584961081	SRR6743914
SRR6743914_metabat_6	62.25	0.0	0.0	27	0	UID2140	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__Atopobium_vaginae	g__Atopobium	42.91605394636842	0.889476	924	0.8732557146005063	SRR6743914
SRR6743916_metabat_01	71.93	0.0	0.0	9	0	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	g__Shuttleworthia;s__Shuttleworthia_satelles	31.002632108951254	1.151928	1023	0.8925644658346702	SRR6743916
SRR6743916_metabat_02	98.86	0.0	0.0	43	0	UID382	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.48561092316891	1.261026	1216	0.904100311968191	SRR6743916
SRR6743916_metabat_03	29.91	0.0	0.0	29	0	UID2142	k__Bacteria	p__Deinococcus-Thermus;c__Deinococci	49.63362664391248	0.409009	382	0.8880684777107595	SRR6743916
SRR6743916_metabat_04	13.39	0.0	0.0	14	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	48.5516300797073	0.244896	152	0.8627090683392133	SRR6743916
SRR6743916_metabat_05	10.92	0.0	0.0	20	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	32.02560770821372	0.23164899999999997	213	0.9132696450232896	SRR6743916
SRR6743916_metabat_06	99.24	26.71	69.5	39	1	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.71016733695223	1.9123689999999998	1450	0.8833410288495578	SRR6743916
SRR6743916_metabat_07	36.57	0.46	0.0	11	0	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea	45.80816744998122	0.295539	281	0.9399571630140184	SRR6743916
SRR6743916_metabat_08	38.55	0.38	50.0	23	0	UID1465	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	46.93367620116046	0.549094	467	0.8504409081140935	SRR6743916
SRR6743916_metabat_09	0.0	0.0	0.0	0	0			unresolved	34.36120968569561	0.370278	349	0.8471769859402936	SRR6743916
SRR6743916_metabat_10	94.41	0.89	0.0	35	0	UID2727	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	s__Prevotella_buccalis	48.49730163235853	2.3391919999999997	2057	0.8711670525548993	SRR6743916
SRR6743916_metabat_11	4.17	0.0	0.0	0	0			unresolved	45.30741704619388	0.295104	229	0.8805200878334418	SRR6743916
SRR6743916_metabat_12	89.14	0.0	0.0	40	0	UID2332	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	g__Streptobacillus;s__Streptobacillus_moniliformis	28.418365139903244	1.109624	1235	0.9373598624398896	SRR6743916
SRR6743916_metabat_13	79.14	2.21	11.11	16	0	UID1463	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	s__Gardnerella_vaginalis	37.79294166589627	1.2115040000000001	1031	0.8689207794609015	SRR6743916
SRR6743916_metabat_14	0.0	0.0	0.0	0	0			unresolved	36.77366186694086	0.264529	235	0.8197324300927309	SRR6743916
SRR6743916_metabat_15	84.13	2.1	50.0	23	1	UID1084	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_genomosp.	s__Megasphaera_genomosp._type_1	46.958404560168326	1.292233	1383	0.9027025311998688	SRR6743916
SRR6743916_metabat_16	13.79	0.0	0.0	3	0	UID2749	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_amnii	unresolved	35.155045839221465	0.312069	366	0.8851375817527534	SRR6743916
SRR6743917_metabat_1	20.69	0.0	0.0	2	0	UID431	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.719609390186726	0.43726499999999996	448	0.9008724686402982	SRR6743917
SRR6743917_metabat_2	31.03	0.0	0.0	5	0	UID431	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	37.46126951339271	0.944992	967	0.8867545968643121	SRR6743917
SRR6743917_metabat_3	4.17	0.0	0.0	0	0			unresolved	34.49775010995703	0.29557	310	0.8779341611124268	SRR6743917
SRR6743917_metabat_4	29.31	0.0	0.0	5	0	UID431	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	37.07036242241342	0.251171	249	0.910427557321506	SRR6743917
SRR6743917_metabat_5	4.17	4.17	0.0	0	0			unresolved	33.424628280077954	0.37461	378	0.8673420357171459	SRR6743917
SRR6743919_metabat_1	34.04	0.0	0.0	9	0	UID390	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.29234415953431	0.462797	567	0.9179272985779944	SRR6743919
SRR6743923_metabat_1	98.53	1.06	0.0	43	0	UID389	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.136364336007574	1.169426	1130	0.918442039085842	SRR6743923
SRR6743923_metabat_2	96.62	0.88	0.0	41	0	UID3728	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium	s__Bradyrhizobium_elkanii	64.72303790954847	7.089453999999999	7101	0.8732971537723497	SRR6743923
SRR6743926_metabat_1	70.69	0.0	0.0	8	0	UID389	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.55738116994065	0.883173	836	0.9102871124909844	SRR6743926
SRR6743926_metabat_2	28.32	0.0	0.0	35	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.457756137399635	0.45059799999999994	467	0.8916107039977985	SRR6743926
SRR6743928_metabat_1	66.0	15.56	8.7	22	2	UID430	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	35.869035187595045	1.6959669999999998	2085	0.8930680844615491	SRR6743928
SRR6743935_metabat_1	29.65	0.0	0.0	12	0	UID390	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	33.24125674605314	0.352243	336	0.8854711094329767	SRR6743935
SRR6743935_metabat_2	20.35	0.0	0.0	23	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	31.606628836604234	0.41201800000000005	410	0.8820221446635826	SRR6743935
SRR6743935_metabat_3	60.34	0.0	0.0	8	0	UID389	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.050981312065055	0.562716	536	0.931094904001308	SRR6743935
SRR6743935_metabat_4	0.0	0.0	0.0	0	0			unresolved	42.653974675886325	0.211577	162	0.8333372720097175	SRR6743935
SRR6743935_metabat_5	53.75	0.0	0.0	9	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.081739219249386	0.939916	942	0.8823650198528379	SRR6743935
SRR6743935_metabat_6	23.0	0.0	0.0	17	0	UID3729	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium	s__Bradyrhizobium_elkanii	64.86713952267368	1.525623	1952	0.8733763190512991	SRR6743935
SRR6743939_metabat_1	39.66	0.0	0.0	6	0	UID431	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	37.3396178468891	0.8972319999999999	948	0.8975136865381529	SRR6743939
SRR6743939_metabat_2	39.66	0.0	0.0	6	0	UID431	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.17640792557346	0.56324	577	0.8934024572118457	SRR6743939
SRR6743939_metabat_3	4.17	0.0	0.0	0	0			unresolved	37.14884823552001	0.526019	531	0.8718924601582833	SRR6743939
SRR6743940_metabat_1	60.25	1.04	16.67	23	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.520894325302464	0.7056939999999999	844	0.9144685940365088	SRR6743940
SRR6743941_metabat_1	12.07	0.0	0.0	1	0	UID434	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.45429019737386	0.24218	353	0.8945164753489141	SRR6743941
SRR6743942_metabat_1	97.29	0.74	0.0	33	0	UID430	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.67290084956738	2.005609	2115	0.8869520429954193	SRR6743942
SRR6743945_metabat_1	97.08	1.47	0.0	33	0	UID432	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.69736234771831	2.064677	2135	0.8853893369277616	SRR6743945
SRR6743945_metabat_2	19.58	0.0	0.0	7	0	UID3729	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium	s__	65.0095279953107	2.188813	2798	0.8816746793810161	SRR6743945
SRR6743947_metabat_1	46.55	0.0	0.0	5	0	UID393	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	31.551628913185148	0.523263	516	0.8909783416752187	SRR6743947
SRR6743947_metabat_2	52.93	0.06	0.0	38	0	UID382	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.68495781503119	0.6821149999999999	639	0.9039692720435704	SRR6743947
SRR6743947_metabat_3	57.15	5.54	3.85	36	0	UID409	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	unresolved	33.82232419418723	1.095726	1107	0.9052190054812972	SRR6743947
SRR6743947_metabat_4	41.38	0.0	0.0	6	0	UID409	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	unresolved	34.91864937299595	0.35334699999999997	357	0.9266952882011168	SRR6743947
SRR6743947_metabat_5	86.68	10.83	8.7	19	1	UID403	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri	unresolved	34.623045162074625	1.8426080000000002	2004	0.9057992801507428	SRR6743947
SRR6743952_metabat_1	99.03	0.8	33.33	43	0	UID434	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.700576505933256	2.155225	2260	0.8870507719611641	SRR6743952
SRR6743952_metabat_2	15.34	0.48	0.0	10	0	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	g__Shuttleworthia;s__Shuttleworthia_satelles	31.299585721582197	0.35241999999999996	453	0.8835253390840474	SRR6743952
SRR6743953_metabat_1	26.92	0.0	0.0	10	0	UID2748	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	s__Prevotella_bivia	39.422468833004295	0.545529	640	0.8702653754429187	SRR6743953
SRR6743954_metabat_1	76.21	0.0	0.0	43	0	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	g__Shuttleworthia;s__Shuttleworthia_satelles	31.390706514897023	1.6283450000000002	1499	0.8926167366252238	SRR6743954
SRR6743954_metabat_2	71.54	0.46	100.0	13	0	UID1467	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	43.30388109000826	1.0899	831	0.8637104321497385	SRR6743954
SRR6743954_metabat_3	17.44	0.0	0.0	11	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	43.03725059491122	0.26222399999999996	223	0.8653250655927757	SRR6743954
SRR6743954_metabat_4	54.31	2.39	80.0	4	3	UID1464	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	45.98584391428908	0.8677540000000001	664	0.8668355317290384	SRR6743954
SRR6743954_metabat_5	6.14	0.0	0.0	2	0	UID1463	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	s__Gardnerella_vaginalis	45.771083810181295	0.20569099999999998	166	0.8548550981812525	SRR6743954
SRR6743954_metabat_6	73.83	11.9	37.93	18	0	UID1463	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	s__Gardnerella_vaginalis	39.90912508773711	1.399066	1181	0.8580038397044886	SRR6743954
SRR6743954_metabat_7	62.07	0.0	0.0	7	0	UID2140	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__Atopobium_vaginae	g__Atopobium	43.125980818106974	0.9195129999999999	928	0.8782355442500541	SRR6743954
SRR6743954_metabat_8	36.28	5.26	33.33	4	0	UID1464	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	40.473400931606456	0.844992	824	0.8969800897523291	SRR6743954
SRR6743955_metabat_1	66.67	0.0	0.0	41	0	UID383	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.572900295875314	0.905449	867	0.8962470553283509	SRR6743955
SRR6743955_metabat_2	29.31	0.0	0.0	2	0	UID388	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	31.714656615105497	0.319685	300	0.9309413954361324	SRR6743955
SRR6743958_metabat_1	28.32	0.0	0.0	35	0	UID390	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.383349038900306	0.370357	357	0.90231047340809	SRR6743958
SRR6743958_metabat_2	53.45	0.0	0.0	7	0	UID393	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.032659913390184	0.5241899999999999	496	0.9286003166790668	SRR6743958
SRR6743958_metabat_3	8.33	0.0	0.0	0	0			unresolved	32.86689598908413	0.209603	196	0.910740781381946	SRR6743958
SRR6743959_metabat_1	14.59	0.0	0.0	4	0	UID434	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	unresolved	36.77444724124288	0.411979	567	0.8948077450549664	SRR6743959
SRR6743959_metabat_2	28.4	0.0	0.0	8	0	UID1471	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.178948348440215	0.601492	611	0.8863991541034627	SRR6743959
SRR6743961_metabat_1	41.38	0.0	0.0	6	0	UID386	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.29254434290406	0.370296	361	0.9217004774558732	SRR6743961
SRR6743961_metabat_2	56.19	0.44	0.0	36	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	s__	32.68220353955841	0.735798	718	0.8983403053555459	SRR6743961
SRR6743962_metabat_1	75.65	0.0	0.0	30	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.884319639356754	1.089165	824	0.8775428883594313	SRR6743962
SRR6743962_metabat_2	42.2	0.0	0.0	38	0	UID1469	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	44.72346346292778	0.597968	445	0.875471597142322	SRR6743962
SRR6743962_metabat_3	47.37	0.0	0.0	4	0	UID1470	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	40.354438352634666	0.69857	555	0.8824412728860386	SRR6743962
SRR6743962_metabat_4	4.17	0.0	0.0	0	0			unresolved	41.942079305946336	0.21715900000000002	177	0.8838454772770182	SRR6743962
SRR6743962_metabat_5	25.0	0.0	0.0	1	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	40.069577720869155	0.336602	250	0.8954195162239084	SRR6743962
SRR6743962_metabat_6	96.63	5.17	13.33	43	0	UID383	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.042892719662774	1.3391549999999999	1379	0.8910014150714443	SRR6743962
SRR6743962_metabat_7	90.78	8.74	7.69	43	0	UID409	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	unresolved	34.6372183041626	1.66891	1809	0.9071543702176871	SRR6743962
SRR6743963_metabat_1	46.76	0.0	0.0	15	0	UID390	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	33.015091315502524	0.5328229999999999	477	0.9166777710421659	SRR6743963
SRR6743963_metabat_2	44.83	0.0	0.0	5	0	UID389	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	31.719362023501702	0.39061	381	0.9105373646348021	SRR6743963
SRR6743963_metabat_3	20.35	0.0	0.0	23	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.01775651946009	0.30524	298	0.8886318962128161	SRR6743963
SRR6743964_metabat_01	76.21	0.0	0.0	43	0	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	g__Shuttleworthia;s__Shuttleworthia_satelles	31.490850455894797	1.564067	1408	0.8960830961844984	SRR6743964
SRR6743964_metabat_02	40.35	0.0	0.0	2	0	UID1464	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	40.27245929639935	0.5081859999999999	390	0.8894105701455767	SRR6743964
SRR6743964_metabat_03	0.0	0.0	0.0	0	0			unresolved	39.0725800325144	0.329085	249	0.7809471717033594	SRR6743964
SRR6743964_metabat_04	36.77	0.0	0.0	34	0	UID1464	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.167308688194325	0.581237	457	0.869994511705208	SRR6743964
SRR6743964_metabat_05	85.81	1.14	25.0	13	0	UID1465	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	43.5740152565578	1.374622	1070	0.8662505037748559	SRR6743964
SRR6743964_metabat_06	8.77	0.0	0.0	1	0	UID1464	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.137193627147525	0.20191900000000002	153	0.8857710269959737	SRR6743964
SRR6743964_metabat_07	23.28	0.0	0.0	1	0	UID1465	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	41.70541895657471	0.439974	379	0.8644897198470819	SRR6743964
SRR6743964_metabat_08	39.61	5.36	66.67	7	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	43.59052607530513	0.5996670000000001	488	0.8599872929475859	SRR6743964
