,sample,ARG,AMR_category,MGE_prediction
SRR6743911_9,SRR6743911,APH(2'')-IG,aminoglycoside,phage
SRR6743911_10,SRR6743911,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743911_11,SRR6743911,DFRA3,diaminopyrimidine,unclassified
SRR6743911_12,SRR6743911,MCR-7.1,peptide,unclassified
SRR6743911_13,SRR6743911,TETQ,tetracycline,unclassified
SRR6743911_14,SRR6743911,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743911_15,SRR6743911,ERMA,MLS,plasmid
SRR6743911_16,SRR6743911,ARLR,multidrug,unclassified
SRR6743911_17,SRR6743911,DFRA29,diaminopyrimidine,phage
SRR6743911_18,SRR6743911,CFXA2,beta-lactam,plasmid
SRR6743912_1,SRR6743912,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743912_2,SRR6743912,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743912_3,SRR6743912,TETQ,tetracycline,unclassified
SRR6743912_4,SRR6743912,VANU,glycopeptide,plasmid
SRR6743912_5,SRR6743912,OXA-118,beta-lactam,unclassified
SRR6743912_6,SRR6743912,VANU,glycopeptide,chromosome
SRR6743912_7,SRR6743912,MSRE,multidrug,chromosome
SRR6743912_8,SRR6743912,TETQ,tetracycline,unclassified
SRR6743912_9,SRR6743912,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743912_10,SRR6743912,RPOB2,multidrug,chromosome
SRR6743912_11,SRR6743912,CFXA3,beta-lactam,ambiguous (plasmid/phage)
SRR6743912_12,SRR6743912,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743912_13,SRR6743912,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743912_14,SRR6743912,TETT,tetracycline,chromosome
SRR6743914_1,SRR6743914,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6743914_2,SRR6743914,MSRE,multidrug,unclassified
SRR6743914_3,SRR6743914,RPOB2,multidrug,chromosome
SRR6743914_4,SRR6743914,MEFA,MLS,ambiguous (phage/chromosome)
SRR6743914_5,SRR6743914,MEL,multidrug,ambiguous (phage/chromosome)
SRR6743914_6,SRR6743914,VANU,glycopeptide,plasmid
SRR6743914_7,SRR6743914,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743914_8,SRR6743914,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743914_9,SRR6743914,TETQ,tetracycline,chromosome
SRR6743914_10,SRR6743914,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743914_11,SRR6743914,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743914_12,SRR6743914,CFXA2,beta-lactam,unclassified
SRR6743916_1,SRR6743916,TETM,tetracycline,chromosome
SRR6743916_2,SRR6743916,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743916_3,SRR6743916,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743916_4,SRR6743916,MEFA,MLS,unclassified
SRR6743916_5,SRR6743916,MEL,multidrug,unclassified
SRR6743916_6,SRR6743916,OPRA,multidrug,chromosome
SRR6743916_7,SRR6743916,UGD,peptide,chromosome
SRR6743916_8,SRR6743916,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743916_9,SRR6743916,OQXA,multidrug,unclassified
SRR6743916_10,SRR6743916,VANU,glycopeptide,unclassified
SRR6743916_11,SRR6743916,TETQ,tetracycline,ambiguous (phage/chromosome)
SRR6743916_12,SRR6743916,TET(W/N/W),tetracycline,unclassified
SRR6743916_13,SRR6743916,TET(40),tetracycline,unclassified
SRR6743916_14,SRR6743916,TET32,tetracycline,unclassified
SRR6743916_15,SRR6743916,VANU,glycopeptide,plasmid
SRR6743916_16,SRR6743916,CFXA3,beta-lactam,unclassified
SRR6743916_17,SRR6743916,TETQ,tetracycline,unclassified
SRR6743916_18,SRR6743916,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743916_19,SRR6743916,IMP-9,beta-lactam,chromosome
SRR6743916_20,SRR6743916,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6743916_21,SRR6743916,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743916_22,SRR6743916,APH(7'')-IA,aminoglycoside,phage
SRR6743916_23,SRR6743916,MSRE,multidrug,unclassified
SRR6743917_1,SRR6743917,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743917_2,SRR6743917,RPOB2,multidrug,chromosome
SRR6743917_3,SRR6743917,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743918_1,SRR6743918,POXTA,multidrug,unclassified
SRR6743922_1,SRR6743922,TETM,tetracycline,unclassified
SRR6743923_1,SRR6743923,ROSB,peptide,chromosome
SRR6743923_2,SRR6743923,RPOB2,multidrug,unclassified
SRR6743923_3,SRR6743923,VANU,glycopeptide,unclassified
SRR6743923_4,SRR6743923,LSAC,multidrug,phage
SRR6743923_5,SRR6743923,OMPR,beta-lactam,unclassified
SRR6743923_6,SRR6743923,MEXE,multidrug,chromosome
SRR6743923_7,SRR6743923,APH(6)-I,aminoglycoside,unclassified
SRR6743923_8,SRR6743923,MEXD,multidrug,unclassified
SRR6743923_9,SRR6743923,CHRB,MLS,chromosome
SRR6743923_10,SRR6743923,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743923_11,SRR6743923,ADEF,multidrug,chromosome
SRR6743923_12,SRR6743923,BJP-1,beta-lactam,chromosome
SRR6743923_13,SRR6743923,ADEF,multidrug,unclassified
SRR6743923_14,SRR6743923,IND-15,beta-lactam,phage
SRR6743926_1,SRR6743926,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743926_2,SRR6743926,ERMB,MLS,ambiguous (phage/chromosome)
SRR6743926_3,SRR6743926,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6743926_4,SRR6743926,TETQ,tetracycline,phage
SRR6743926_5,SRR6743926,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743926_6,SRR6743926,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743928_1,SRR6743928,AAC(3)-IXA,aminoglycoside,unclassified
SRR6743928_2,SRR6743928,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,phage
SRR6743928_3,SRR6743928,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6743928_4,SRR6743928,TETM,tetracycline,plasmid
SRR6743928_5,SRR6743928,ACINETOBACTER BAUMANNII ABAF,fosfomycin,phage
SRR6743928_6,SRR6743928,MECD,beta-lactam,chromosome
SRR6743928_7,SRR6743928,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743935_1,SRR6743935,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743935_2,SRR6743935,APH(6)-I,aminoglycoside,unclassified
SRR6743935_3,SRR6743935,MEXD,multidrug,unclassified
SRR6743935_4,SRR6743935,NMCR,beta-lactam,plasmid
SRR6743935_5,SRR6743935,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743935_6,SRR6743935,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,ambiguous (phage/chromosome)
SRR6743935_7,SRR6743935,BMR,multidrug,chromosome
SRR6743939_1,SRR6743939,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,ambiguous (phage/chromosome)
SRR6743939_2,SRR6743939,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,ambiguous (phage/chromosome)
SRR6743939_3,SRR6743939,TETQ,tetracycline,phage
SRR6743939_4,SRR6743939,RPOB2,multidrug,chromosome
SRR6743939_5,SRR6743939,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743940_1,SRR6743940,FUSD,fusidic-acid,phage
SRR6743940_2,SRR6743940,RPOB2,multidrug,chromosome
SRR6743940_3,SRR6743940,APH(6)-ID,aminoglycoside,unclassified
SRR6743940_4,SRR6743940,AAC(6')-I30,aminoglycoside,unclassified
SRR6743940_5,SRR6743940,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,plasmid
SRR6743940_6,SRR6743940,LSAC,multidrug,plasmid
SRR6743940_7,SRR6743940,IRI,rifamycin,unclassified
SRR6743941_1,SRR6743941,ERMY,MLS,plasmid
SRR6743941_2,SRR6743941,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,phage
SRR6743942_1,SRR6743942,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743942_2,SRR6743942,TETQ,tetracycline,phage
SRR6743942_3,SRR6743942,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743942_4,SRR6743942,RPOB2,multidrug,chromosome
SRR6743945_1,SRR6743945,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743945_2,SRR6743945,MEXI,multidrug,unclassified
SRR6743945_3,SRR6743945,MEXE,multidrug,unclassified
SRR6743945_4,SRR6743945,LMRC,multidrug,unclassified
SRR6743945_5,SRR6743945,MPHK,MLS,plasmid
SRR6743945_6,SRR6743945,ADEF,multidrug,chromosome
SRR6743945_7,SRR6743945,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743945_8,SRR6743945,VANWG,glycopeptide,unclassified
SRR6743945_9,SRR6743945,ADEN,multidrug,chromosome
SRR6743945_10,SRR6743945,RPOB2,multidrug,chromosome
SRR6743945_11,SRR6743945,APH(6)-I,aminoglycoside,plasmid
SRR6743945_12,SRR6743945,CHRB,MLS,unclassified
SRR6743947_1,SRR6743947,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743947_2,SRR6743947,BIFIDOBACTERIUM ILES CONFERRING RESISTANCE TO MUPIROCIN,mupirocin,unclassified
SRR6743947_3,SRR6743947,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743947_4,SRR6743947,TAEA,pleuromutilin,unclassified
SRR6743947_5,SRR6743947,LSAC,multidrug,chromosome
SRR6743947_6,SRR6743947,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743947_7,SRR6743947,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743947_8,SRR6743947,ERMB,MLS,ambiguous (phage/chromosome)
SRR6743947_9,SRR6743947,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743947_10,SRR6743947,ABCA,multidrug,unclassified
SRR6743947_11,SRR6743947,ANT(3'')-II-AAC(6')-IID FUSION PROTEIN,aminoglycoside,ambiguous (plasmid/phage)
SRR6743947_12,SRR6743947,ABCA,multidrug,chromosome
SRR6743947_13,SRR6743947,VANU,glycopeptide,chromosome
SRR6743947_14,SRR6743947,POXTA,multidrug,chromosome
SRR6743947_15,SRR6743947,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743947_16,SRR6743947,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743951_1,SRR6743951,TETR,tetracycline,unclassified
SRR6743951_2,SRR6743951,CFXA3,beta-lactam,unclassified
SRR6743952_1,SRR6743952,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743952_2,SRR6743952,RPOB2,multidrug,chromosome
SRR6743952_3,SRR6743952,ERMY,MLS,chromosome
SRR6743952_4,SRR6743952,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743952_5,SRR6743952,TETS,tetracycline,ambiguous (phage/chromosome)
SRR6743952_6,SRR6743952,VANU,glycopeptide,unclassified
SRR6743952_7,SRR6743952,POXTA,multidrug,chromosome
SRR6743952_8,SRR6743952,TETQ,tetracycline,unclassified
SRR6743952_9,SRR6743952,CFXA2,beta-lactam,plasmid
SRR6743952_10,SRR6743952,TETM,tetracycline,unclassified
SRR6743953_1,SRR6743953,OCH-2,beta-lactam,unclassified
SRR6743953_2,SRR6743953,LRA-17,beta-lactam,unclassified
SRR6743953_3,SRR6743953,TETQ,tetracycline,unclassified
SRR6743953_4,SRR6743953,UGD,peptide,unclassified
SRR6743953_5,SRR6743953,CFXA2,beta-lactam,plasmid
SRR6743953_6,SRR6743953,ERMF,MLS,unclassified
SRR6743954_1,SRR6743954,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6743954_2,SRR6743954,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743954_3,SRR6743954,OTRC,tetracycline,chromosome
SRR6743954_4,SRR6743954,TETQ,tetracycline,plasmid
SRR6743954_5,SRR6743954,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,unclassified
SRR6743954_6,SRR6743954,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743954_7,SRR6743954,OPRA,multidrug,ambiguous (phage/chromosome)
SRR6743954_8,SRR6743954,ABCA,multidrug,plasmid
SRR6743954_9,SRR6743954,TETQ,tetracycline,unclassified
SRR6743954_10,SRR6743954,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743954_11,SRR6743954,GOB-16,beta-lactam,ambiguous (phage/chromosome)
SRR6743954_12,SRR6743954,MSRE,multidrug,unclassified
SRR6743954_13,SRR6743954,PATB,fluoroquinolone,unclassified
SRR6743954_14,SRR6743954,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,phage
SRR6743954_15,SRR6743954,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743954_16,SRR6743954,IMP-9,beta-lactam,chromosome
SRR6743954_17,SRR6743954,MEFA,MLS,ambiguous (phage/chromosome)
SRR6743954_18,SRR6743954,MEL,multidrug,ambiguous (phage/chromosome)
SRR6743954_19,SRR6743954,CFXA3,beta-lactam,plasmid
SRR6743954_20,SRR6743954,TETM,tetracycline,plasmid
SRR6743954_21,SRR6743954,TETQ,tetracycline,phage
SRR6743955_1,SRR6743955,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743955_2,SRR6743955,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6743955_3,SRR6743955,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743955_4,SRR6743955,PATB,fluoroquinolone,unclassified
SRR6743955_5,SRR6743955,TETQ,tetracycline,phage
SRR6743958_1,SRR6743958,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743958_2,SRR6743958,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743958_3,SRR6743958,ERMB,MLS,ambiguous (phage/chromosome)
SRR6743958_4,SRR6743958,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743958_5,SRR6743958,TETQ,tetracycline,unclassified
SRR6743958_6,SRR6743958,OXA-265,beta-lactam,unclassified
SRR6743958_7,SRR6743958,LSAC,multidrug,phage
SRR6743959_1,SRR6743959,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,plasmid
SRR6743959_2,SRR6743959,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,unclassified
SRR6743959_3,SRR6743959,MDTG,fosfomycin,unclassified
SRR6743959_4,SRR6743959,CMEC,multidrug,chromosome
SRR6743959_5,SRR6743959,APH(3')-VIIA,aminoglycoside,chromosome
SRR6743959_6,SRR6743959,ERMY,MLS,unclassified
SRR6743961_1,SRR6743961,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743961_2,SRR6743961,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743961_3,SRR6743961,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6743961_4,SRR6743961,TET(33),tetracycline,phage
SRR6743961_5,SRR6743961,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743961_6,SRR6743961,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743962_1,SRR6743962,TETQ,tetracycline,unclassified
SRR6743962_2,SRR6743962,TETM,tetracycline,unclassified
SRR6743962_3,SRR6743962,TETM,tetracycline,unclassified
SRR6743962_4,SRR6743962,APH(3')-IB,aminoglycoside,unclassified
SRR6743962_5,SRR6743962,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743962_6,SRR6743962,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743962_7,SRR6743962,POXTA,multidrug,chromosome
SRR6743962_8,SRR6743962,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743962_9,SRR6743962,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743962_10,SRR6743962,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743962_11,SRR6743962,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743962_12,SRR6743962,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743962_13,SRR6743962,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6743963_1,SRR6743963,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743963_2,SRR6743963,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6743963_3,SRR6743963,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743964_1,SRR6743964,SHV-25,beta-lactam,phage
SRR6743964_2,SRR6743964,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6743964_3,SRR6743964,GOB-16,beta-lactam,chromosome
SRR6743964_4,SRR6743964,TETQ,tetracycline,ambiguous (plasmid/phage)
SRR6743964_5,SRR6743964,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743964_6,SRR6743964,ADEJ,multidrug,ambiguous (phage/chromosome)
SRR6743964_7,SRR6743964,CHRB,MLS,chromosome
SRR6743964_8,SRR6743964,VANTN,glycopeptide,plasmid
SRR6743964_9,SRR6743964,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6743964_10,SRR6743964,VANE,glycopeptide,unclassified
SRR6743964_11,SRR6743964,MEL,multidrug,ambiguous (phage/chromosome)
SRR6743964_12,SRR6743964,MEFA,MLS,ambiguous (phage/chromosome)
SRR6743964_13,SRR6743964,TET37,tetracycline,unclassified
SRR6743964_14,SRR6743964,LNUD,MLS,chromosome
SRR6743964_15,SRR6743964,OPRA,multidrug,chromosome
SRR6743964_16,SRR6743964,VANU,glycopeptide,chromosome
SRR6743964_17,SRR6743964,TETQ,tetracycline,chromosome
SRR6743964_18,SRR6743964,VANU,glycopeptide,plasmid
SRR6743969_1,SRR6743969,OMPR,beta-lactam,plasmid
SRR6743969_2,SRR6743969,FOSA2,fosfomycin,chromosome
SRR6743969_3,SRR6743969,PATA,fluoroquinolone,chromosome
SRR6743969_4,SRR6743969,MDTA,aminocoumarin,plasmid
SRR6743969_5,SRR6743969,KDPE,aminoglycoside,chromosome
SRR6743969_6,SRR6743969,MDTH,fluoroquinolone,unclassified
SRR6743969_7,SRR6743969,CMH-1,beta-lactam,chromosome
SRR6743969_8,SRR6743969,COB(I)ALAMIN_ADENOLSYLTRANSFERASE,unclassified,unclassified
SRR6743969_9,SRR6743969,ESCHERICHIA COLI SOXR WITH MUTATION CONFERRING ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6743969_10,SRR6743969,ESCHERICHIA COLI SOXS WITH MUTATION CONFERRING ANTIBIOTIC RESISTANCE,multidrug,unclassified
SRR6743969_11,SRR6743969,CRP,multidrug,unclassified
SRR6743969_12,SRR6743969,ACRD,aminoglycoside,unclassified
SRR6743969_13,SRR6743969,HERA-4,beta-lactam,unclassified
SRR6743969_14,SRR6743969,MEXX,multidrug,unclassified
SRR6743969_15,SRR6743969,BACA,bacitracin,unclassified
SRR6743969_16,SRR6743969,OQXB,multidrug,unclassified
SRR6743969_17,SRR6743969,BAES,aminoglycoside:aminocoumarin,chromosome
SRR6743969_18,SRR6743969,BAER,aminoglycoside:aminocoumarin,chromosome
SRR6743969_19,SRR6743969,KLEBSIELLA PNEUMONIAE KPNF,multidrug,chromosome
SRR6743969_20,SRR6743969,KLEBSIELLA PNEUMONIAE KPNE,multidrug,chromosome
SRR6743969_21,SRR6743969,MACA,MLS,unclassified
SRR6743969_22,SRR6743969,OMPF,beta-lactam,unclassified
SRR6743969_23,SRR6743969,SDIA,multidrug,plasmid
SRR6743969_24,SRR6743969,CMH-1,beta-lactam,unclassified
SRR6743969_25,SRR6743969,MDTG,fosfomycin,plasmid
SRR6743969_26,SRR6743969,UGD,peptide,unclassified
SRR6743969_27,SRR6743969,ACRB,multidrug,unclassified
SRR6743969_28,SRR6743969,EMRD,multidrug,unclassified
SRR6743969_29,SRR6743969,ROSB,peptide,chromosome
SRR6743969_30,SRR6743969,EMRR,fluoroquinolone,unclassified
SRR6743969_31,SRR6743969,EMRA,fluoroquinolone,unclassified
SRR6743969_32,SRR6743969,KLEBSIELLA PNEUMONIAE KPNH,multidrug,unclassified
SRR6743969_33,SRR6743969,CPXA,aminoglycoside:aminocoumarin,chromosome
SRR6743969_34,SRR6743969,CKO-1,beta-lactam,ambiguous (plasmid/phage)
SRR6743969_35,SRR6743969,ENTEROBACTER CLOACAE ACRA,multidrug,plasmid
SRR6743969_36,SRR6743969,OMPF,beta-lactam,chromosome
SRR6743969_37,SRR6743969,ESCHERICHIA COLI MARR MUTANT CONFERRING ANTIBIOTIC RESISTANCE,multidrug,plasmid
SRR6743969_38,SRR6743969,MARA,multidrug,plasmid
SRR6743969_39,SRR6743969,TOLC,multidrug,chromosome
SRR6743969_40,SRR6743969,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,aminoglycoside,unclassified
SRR6743969_41,SRR6743969,MDTK,fluoroquinolone,unclassified
SRR6743969_42,SRR6743969,ESCHERICHIA COLI AMPH BETA-LACTAMASE,beta-lactam,unclassified
SRR6743969_43,SRR6743969,MDTK,fluoroquinolone,chromosome
SRR6743969_44,SRR6743969,DNA-BINDING_PROTEIN_H-NS,unclassified,plasmid
SRR6743969_45,SRR6743969,ESCHERICHIA COLI EF-TU MUTANTS CONFERRING RESISTANCE TO PULVOMYCIN,elfamycin,unclassified
SRR6743969_46,SRR6743969,MDTG,fosfomycin,chromosome
SRR6743969_47,SRR6743969,ESCHERICHIA COLI UHPT WITH MUTATION CONFERRING RESISTANCE TO FOSFOMYCIN,fosfomycin,chromosome
SRR6743970_1,SRR6743970,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743970_2,SRR6743970,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743970_3,SRR6743970,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743970_4,SRR6743970,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6743970_5,SRR6743970,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6743970_6,SRR6743970,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6743970_7,SRR6743970,POXTA,multidrug,ambiguous (phage/chromosome)
SRR6743970_8,SRR6743970,ABCA,multidrug,ambiguous (phage/chromosome)
SRR6743970_9,SRR6743970,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6743970_10,SRR6743970,RPOB2,multidrug,chromosome
SRR6743970_11,SRR6743970,ABCA,multidrug,chromosome
SRR6743972_1,SRR6743972,ERMF,MLS,unclassified
SRR6743972_2,SRR6743972,TETQ,tetracycline,unclassified
SRR6743972_3,SRR6743972,TETM,tetracycline,unclassified
SRR6743972_4,SRR6743972,SHV-63,beta-lactam,phage
SRR6743972_5,SRR6743972,VANU,glycopeptide,phage
SRR6743972_6,SRR6743972,CFXA3,beta-lactam,plasmid
SRR6743980_1,SRR6743980,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6743980_2,SRR6743980,RPOB2,multidrug,unclassified
SRR6743980_3,SRR6743980,LMRP,multidrug,chromosome
